class,order,family,genus,species,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus caraiba,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus crassipes,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus cucutaensis,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus dubiomaculatus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus echinus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus fractus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus harti,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus insignis,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus liodon,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus longipalpis,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus nattereri,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus nigripes,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus paranensis,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus pertyi,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus piceus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus princeps,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus pusillus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus robustus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus rojasi,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus rufibarbis,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus rufipes,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus scalops,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus tarsalis,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus trinotatus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus valencianus,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus wallacei,
Arachnida ,Araneae,Actinopodidae,Actinopus,Actinopus xenus,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena bradleyi,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena dipsaca,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena faulderi,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena granulosa,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena hoggi,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena insignis,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena langlandsi,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena occatoria,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena pruinosa,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena reflexa,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena rutraspina,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena torbayensis,
Arachnida ,Araneae,Actinopodidae,Missulena,Missulena tussulena,
Arachnida ,Araneae,Actinopodidae,Plesiolena,Plesiolena bonneti,
Arachnida ,Araneae,Actinopodidae,Plesiolena,Plesiolena jorgelina,
Arachnida ,Araneae,Agelenidae,Acutipetala,Acutipetala donglini,
Arachnida ,Araneae,Agelenidae,Acutipetala,Acutipetala octoginta,
Arachnida ,Araneae,Agelenidae,Gorbiscape,Gorbiscape agelenoides,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena annulipedella,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena atlantea,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena australis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena babai,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena barunae,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena bifida,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena borbonica,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena canariensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena chayu,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena choi,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena consociata,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena cuspidata,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena doris,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena dubiosa,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria fagei,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena funerea,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena gaerdesi,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena gautami,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena gomerensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena gonzalezi,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena hirsutissima,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena howelli,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena incertissima,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena inda,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena injuria,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria jaundea,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena jirisanensis,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria jumbo,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria kiwuensis,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria keniana,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria kiboschensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena labyrinthica,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria lawrencei,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena limbata,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena lingua,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena littoricola,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria longimamillata,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena longipes,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena lukla,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena maracandensis,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria moschiensis,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria mossambica,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria nairobii,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena nigra,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria nyassana,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena oaklandensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena orientalis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena poliosata,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena republicana,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena satmila,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena scopulata,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena secsuensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena sherpa,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena shillongensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena silvatica,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena suboculata,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia tadzhika,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena tenerifensis,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena tenuella,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena tenuis,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria teteana,
Arachnida ,Araneae,Agelenidae,Agelena,Agelena tungchis,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria zorica,
Arachnida ,Araneae,Agelenidae,Mistaria,Mistaria zuluana,
Arachnida ,Araneae,Agelenidae,Agelenella,Agelenella pusilla,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis actuosa,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis aleenae,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis aperta,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis emertoni,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis kastoni,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis longistyla,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis naevia,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis oklahoma,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis oregonensis,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis pennsylvanica,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis potteri,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis spatula,
Arachnida ,Araneae,Agelenidae,Agelenopsis,Agelenopsis utahana,
Arachnida ,Araneae,Agelenidae,Ageleradix,Ageleradix cymbiforma,
Arachnida ,Araneae,Agelenidae,Ageleradix,Ageleradix otiforma,
Arachnida ,Araneae,Agelenidae,Ageleradix,Ageleradix sichuanensis,
Arachnida ,Araneae,Agelenidae,Ageleradix,Ageleradix schwendingeri,
Arachnida ,Araneae,Agelenidae,Ageleradix,Ageleradix sternseptum,
Arachnida ,Araneae,Agelenidae,Ageleradix,Ageleradix zhishengi,
Arachnida ,Araneae,Agelenidae,Agelescape,Agelescape affinis,
Arachnida ,Araneae,Agelenidae,Persiscape,Persiscape caucasica,
Arachnida ,Araneae,Agelenidae,Persiscape,Persiscape gideoni,
Arachnida ,Araneae,Agelenidae,Persiscape,Persiscape levyi,
Arachnida ,Araneae,Agelenidae,Agelescape,Agelescape livida,
Arachnida ,Araneae,Agelenidae,Ahua,Ahua dentata,
Arachnida ,Araneae,Agelenidae,Ahua,Ahua insula,
Arachnida ,Araneae,Agelenidae,Ahua,Ahua kaituna,
Arachnida ,Araneae,Agelenidae,Ahua,Ahua vulgaris,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena bistriata,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena difficilis,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena donggukensis,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena gracilens,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena koreana,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena monticola,
Arachnida ,Araneae,Agelenidae,Allagelena,Allagelena opulenta,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides amurensis,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides bifidus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides cochlea,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides coreanus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides dimidiatus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides euini,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides grandivulvus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides jaegeri,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides jirisanensis,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides kimi,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides lunatus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides mandzhuricus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides meniscatus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides napolovi,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides nariceus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides ovatus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides paiki,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides paikwunensis,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides pseudonariceus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides quadrativulvus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides rostratus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides solea,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides terdecimus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides triangulatus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides trisaccatus,
Arachnida ,Araneae,Agelenidae,Alloclubionoides,Alloclubionoides wolchulsanensis,
Arachnida ,Araneae,Agelenidae,Aterigena,Aterigena aculeata,
Arachnida ,Araneae,Agelenidae,Aterigena,Aterigena aliquoi,
Arachnida ,Araneae,Agelenidae,Aterigena,Aterigena aspromontensis,
Arachnida ,Araneae,Agelenidae,Aterigena,Aterigena ligurica,
Arachnida ,Araneae,Agelenidae,Aterigena,Aterigena soriculata,
Arachnida ,Araneae,Agelenidae,Azerithonica,Azerithonica hyrcanica,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis arturoi,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis barrowsi,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis floridensis,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis jeffersi,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis pelempito,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis stephaniae,
Arachnida ,Araneae,Agelenidae,Barronopsis,Barronopsis texana,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia agraulosa,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia bornemiszai,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia deserticola,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia lepida,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia ocellata,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia raymondeae,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia rhodesiae,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia timida,
Arachnida ,Araneae,Agelenidae,Benoitia,Benoitia upembana,
Arachnida ,Araneae,Agelenidae,Bifidocoelotes,Bifidocoelotes primus,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena absoluta,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena adna,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena angelena,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena arizonica,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena californica,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena gertschi,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena gosoga,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena magna,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena nita,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena peninsulana,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena restricta,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena restricta,dixiana
Arachnida ,Araneae,Agelenidae,Calilena,Calilena saylori,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena siva,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena stylophora,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena stylophora,laguna
Arachnida ,Araneae,Agelenidae,Calilena,Calilena stylophora,oregona
Arachnida ,Araneae,Agelenidae,Calilena,Calilena stylophora,pomona
Arachnida ,Araneae,Agelenidae,Calilena,Calilena umatilla,
Arachnida ,Araneae,Agelenidae,Calilena,Calilena umatilla,schizostyla
Arachnida ,Araneae,Agelenidae,Calilena,Calilena yosemita,
Arachnida ,Araneae,Agelenidae,Coelotes,Coelotes acerbus,
Arachnida ,Araneae,Agelenidae,Sinocoelotes,Sinocoelotes acicularis,
Arachnida ,Araneae,Agelenidae,Coelotes,Coelotes aguniensis,
Arachnida ,Araneae,Agelenidae,Griseidraconarius,Griseidraconarius akakinaensis,
Arachnida ,Araneae,Agelenidae,Coelotes,Coelotes albimontanus,
Arachnida ,Araneae,Agelenidae,Coelotes,Coelotes alpinus,
Arachnida ,Araneae,Agelenidae,Coelotes,Coelotes amamiensis,
