gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
3858648520																										120266900										http://creativecommons.org/licenses/by-nc/4.0/			2022-06-10T19:00:10Z			https://www.inaturalist.org/observations/120266900					rdsage												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 28181m at the request of the observer			https://www.inaturalist.org/observations/120266900	120266900		rdsage																						These two spiders were found living in cavities in a large waste heap of a colony of Acromyrmex lobicornis (photo 10) in a Monte Biome habitat. Besides these spiders there was another smaller species of spider, and three kinds of beetles in this waste heap material. Mello-Leito described this genus in 1938, and the four species in the genus (Mello-Lieto 1938, 1940, and 1941). All four species were described based on single specimens, and the type localities are in Tucuman, San Luis, La Pampa, and Rio Negro Provinces. Xenoctenus patagonicus was collected at Chelforó, R. N. Prov., which is 100 km ESE of where these two specimens were found. But, there has not been a systematic study of the genus since those descriptions that could validate or invalidate the concept of 4 different species in the genus. So it is probably better not to put a species name on these specimens based on photographs.											2022-05-11T22:56:00-03:00	01:56:00Z						2022/05/11 10:56 PM																AR	Río Negro				General Roca, AR-RN, AR												-38.8570464141	-67.7951946958	EPSG:4326	28181																																		266976556				rdsage		2022-06-05T02:18:22Z				421035								Xenoctenus								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Xenoctenus							genus							
3817889763																										KY018048																https://www.ebi.ac.uk/ena/browser/view/KY018048																					PreservedSpecimen				KY018048	MACN-Ar																					https://www.ebi.ac.uk/ena/browser/api/embl/KY018048			Odo bruchi isolate ARAMR000028 cytchrome oxidase subunit I (COI) gene, partial cds; mitochondrial.																																	Argentina					 La Pampa, Parque Nac. Lihue Calel																																																												ASV:03705136119991878b2cb7365fecbf4a							https://www.ebi.ac.uk/ena/browser/view/Taxon:1525912	Odo bruchi								Metazoa	Arthropoda	Arachnida	Araneae	Zoridae		Odo														
3817881912																										KY018050																https://www.ebi.ac.uk/ena/browser/view/KY018050																					PreservedSpecimen				KY018050	MACN-Ar 10877																					https://www.ebi.ac.uk/ena/browser/api/embl/KY018050			Xenoctenus sp. MR982 isolate ARAMR000982 cytchrome oxidase subunit I (COI) gene, partial cds; mitochondrial.																																	Argentina					 San Juan																																																												ASV:75b2b91cec80e6f03d8514d3f6df7608							https://www.ebi.ac.uk/ena/browser/view/Taxon:1956947	Xenoctenus sp. MR982								Metazoa	Arthropoda	Arachnida	Araneae	Miturgidae		Xenoctenus														
3817879957																										KY018049																https://www.ebi.ac.uk/ena/browser/view/KY018049																					PreservedSpecimen				KY018049	MACN																					https://www.ebi.ac.uk/ena/browser/api/embl/KY018049			Paravulsor sp. MR276 isolate ARAMR000276 cytchrome oxidase subunit I (COI) gene, partial cds; mitochondrial.																																	Argentina					 Misiones, Parque Nac. Iguazu, area Garganta del Diablo																																																												ASV:5a6c3ac9300d987b89ee61c3094540b1							https://www.ebi.ac.uk/ena/browser/view/Taxon:1956904	Paravulsor sp. MR276								Metazoa	Arthropoda	Arachnida	Araneae	Miturgidae		Paravulsor														
3802305357																										79589815										http://creativecommons.org/licenses/by-nc/4.0/			2022-05-29T00:55:02Z			https://www.inaturalist.org/observations/79589815					M. A. Lagares												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/79589815	79589815		M. A. Lagares																																	2019-11-17T10:06:00-03:00	13:06:00Z						2019/11/17 10:06 AM -0300																BR	Rio Grande do Norte				Lagoa Nova, RN												-6.0601952953	-36.416865089	EPSG:4326	12114																																		189431220				Pedro H. Martins		2021-07-08T21:38:26Z				835784								Odo vittatus								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Odo							species							
3785039406																										110766589										http://creativecommons.org/licenses/by-nc/4.0/			2022-05-19T23:30:36Z			https://www.inaturalist.org/observations/110766589					Ivan Magalhaes												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/110766589	110766589		Ivan Magalhaes	https://orcid.org/0000-0003-3728-3270																																2022-02-02T00:44:00-03:00	03:44:00Z						2022/02/02 12:44 AM -0300																AR	San Luis				Sierra de las Quijadas, Belgrano, San Luis, Argentina												-32.4961738333	-66.9950256111	EPSG:4326																																			247589554				Ivan Magalhaes	https://orcid.org/0000-0003-3728-3270	2022-04-08T17:32:14Z				421035								Xenoctenus								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Xenoctenus							genus							
3747213500																										107524833										http://creativecommons.org/licenses/by-nc/4.0/			2022-03-22T23:54:01Z			https://www.inaturalist.org/observations/107524833					romanlabrousse												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/107524833	107524833		romanlabrousse																																	2022-02-26T00:12:18-03:00	03:12:18Z						2022-02-26 00:12:18																AR	San Juan				Zonda, San Juan, Argentina												-31.6959595843	-68.7476566806	EPSG:4326	458																																		239307259				romanlabrousse		2022-02-27T02:16:33Z				421035								Xenoctenus								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Xenoctenus							genus							
3742986854																										108556231										http://creativecommons.org/licenses/by-nc/4.0/			2022-04-11T16:05:20Z			https://www.inaturalist.org/observations/108556231					Michael Weymann												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30434m at the request of the observer			https://www.inaturalist.org/observations/108556231	108556231		Michael Weymann																																	2022-03-13T11:57:00-03:00	14:57:00Z						2022/03/13 11:57 AM -0300																CL	Tarapacá				Tarapacá, CL-TA-IQ, CL												-20.8340329808	-69.860381166	EPSG:4326	30434																																		242089342				Michael Weymann		2022-03-14T01:46:51Z				815715								Odo patricius								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Odo							species							
3698148520																										105930770										http://creativecommons.org/licenses/by-nc/4.0/			2022-02-25T00:30:04Z			https://www.inaturalist.org/observations/105930770					Quentin Vandemoortele												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/105930770	105930770		Quentin Vandemoortele																																	2022-01-31T11:10:00-03:00	14:10:00Z						2022/01/31 11:10 AM -0300																AR	Mendoza				Rivadavia, Mendoza, Argentina												-33.512931	-68.668925	EPSG:4326																																			234648816				Luciano Peralta		2022-02-01T00:42:54Z				421035								Xenoctenus								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Xenoctenus							genus							
3698125452																										105930767										http://creativecommons.org/licenses/by-nc/4.0/			2022-02-25T00:30:37Z			https://www.inaturalist.org/observations/105930767					Quentin Vandemoortele												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/105930767	105930767		Quentin Vandemoortele																																	2022-01-31T12:09:00-03:00	15:09:00Z						2022/01/31 12:09 PM -0300																AR	Mendoza				Rivadavia Department, Mendoza Province, Argentina												-33.5140209722	-68.672138	EPSG:4326																																			234648755				Luciano Peralta		2022-02-01T00:42:27Z				421035								Xenoctenus								Animalia	Arthropoda	Arachnida	Araneae	Xenoctenidae		Xenoctenus							genus							
